key,state_name,state,city,police_department,total,white,black,native,asian,hawaiian,asianpacificislander,other,two_races,hispanic,black_victims_2012,Unarmed Black,Unarmed White,Unarmed Hispanic,Unarmed Native American,Unarmed Asian/Pacific Islander,Unarmed Unknown,All Unarmed,Rate of Unarmed Black,Rate of Unarmed White,Rate of Unarmed Hispanic,Rate of Unarmed Native American,Rate of Unarmed Asian/Pacific Islander,Rate of All Unarmed,Black Victims,White Victims,Hispanic Victims,Asian/Pacific Islander Victims,Victims of Unknown Race,All,Percent of Victims Black,Rate of All Police Killings per 1M,Rate of Police Killings of Black People per 1M,Rate of Police Killings of White People per 1M,Rate of Police Killings of Hispanic People per 1M,Rate of Police Killings of Asian People per 1M,murder_rate,violent_crime_rate,population,violent_crime,murder_and_manslaughter,Black Armed,White Armed,Hispanic Armed,Asian/Pacific Islander Armed,Unknown Armed,Black Male Police Homicide Rate
46,Pennsylvania,PA,Philadelphia,Philadelphia PD,1526006,562585,644287,3498,95521,457,95978,4105,27942,187611,7.0,1.0,,,,,,1,1.55,0.0,0.0,0,0.0,0.66,2.0,,,,2.0,4,50,2.6,3.1,0.0,0,0.0,15.9,11.0,1553153,17074,247,1,0,0,0,2,6.208413331
47,Tennessee,TN,Memphis,Memphis PD,646889,177735,408075,1186,10067,159,10226,742,6931,41994,22.0,1.0,,,,,,1,2.45,0.0,0.0,0,0.0,1.55,1.0,,,,,1,100,1.5,2.5,0.0,0,0.0,18.9,16.6,657691,10894,124,0,0,0,0,0,5.0
48,Alaska,AK,Anchorage,Anchorage PD,291826,182814,15308,22047,23208,5776,28984,562,20050,22061,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,4.7,8.1,299455,2435,14,0,0,0,0,0,0.0
49,Arizona,AZ,Chandler,Chandler PD,236123,145724,10580,2715,19119,365,19484,369,5443,51808,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,1.0,,,1,0,4.2,0.0,0.0,45.3,0.0,0.8,2.3,248718,575,2,0,0,1,0,0,0.0
50,Arizona,AZ,Glendale,Glendale PD,226721,116866,12766,2707,8618,355,8973,329,4579,80501,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,2.0,,,,2,0,8.8,0.0,17.1,#REF!,0.0,5.6,3.9,234006,905,13,0,2,0,0,0,0.0
51,Arizona,AZ,Mesa,Mesa PD,439041,282505,14101,8359,8174,1532,9706,555,8062,115753,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,1.0,,,,1,0,2.3,0.0,3.5,0,0.0,4.8,4.0,456155,1807,22,0,1,0,0,0,0.0
52,Arizona,AZ,Scottsdale,Scottsdale PD,217385,182011,3484,1462,7128,189,7317,276,3610,19225,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,2.0,,,,2,0,9.2,0.0,11.0,0,0.0,1.8,1.5,225523,337,4,0,2,0,0,0,0.0
53,Arizona,AZ,Tucson,Tucson PD,520116,245323,23362,8776,14211,951,15162,792,10393,216308,,,1.0,1.0,,,,2,0.0,4.08,4.62,0,0.0,3.85,,2.0,4.0,,1.0,7,0,13.5,0.0,8.2,18.5,0.0,8.9,6.4,525486,3368,47,0,1,3,0,1,0.0
54,California,CA,Anaheim,Anaheim PD,336265,92362,8209,743,49210,1437,50647,628,6209,177467,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,2.0,,,,2,0,5.9,0.0,21.7,0,0.0,3.2,3.3,345320,1130,11,0,2,0,0,0,0.0
55,California,CA,Chula Vista,Chula Vista PD,243916,49641,9972,600,33581,1105,34686,360,6591,142066,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,1.0,,,1,0,4.1,0.0,0.0,7,0.0,0.8,2.3,255073,595,2,0,0,1,0,0,0.0
56,California,CA,Fremont,Fremont PD,214089,56766,6743,458,107679,1064,108743,388,9293,31698,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.4,1.2,224475,273,1,0,0,0,0,0,0.0
57,California,CA,Irvine,Irvine PD,212375,95822,3494,199,82722,295,83017,554,9668,19621,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.8,0.5,235830,113,2,0,0,0,0,0,0.0
58,California,CA,Long Beach,Long Beach PD,462257,135698,59925,1349,58268,4915,63183,1118,12572,188412,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,2.0,2.0,,,4,0,8.7,0.0,14.7,10.6,0.0,7.2,5.0,469665,2346,34,0,2,2,0,0,0.0
59,California,CA,Riverside,Riverside PD,303871,103398,19917,1297,21934,1019,22953,617,6736,148953,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,1.0,,,1,0,3.3,0.0,0.0,6.7,0.0,3.2,4.2,316423,1330,10,0,0,1,0,0,0.0
60,California,CA,Sacramento,Sacramento PD,466488,161062,64967,2586,83841,6392,90233,1253,21111,125276,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,1.0,,2.0,3,0,6.4,0.0,0.0,8,0.0,7.1,6.6,478182,3137,34,0,0,1,0,2,0.0
61,California,CA,San Bernardino,San Bernardino PD,209924,39977,29897,867,8027,704,8731,361,4097,125994,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,2.0,,1.0,3,0,14.3,0.0,0.0,16,0.0,22.9,9.1,214322,1949,49,0,0,2,0,1,0.0
62,California,CA,San Diego,San Diego PD,1307402,589702,82497,3545,204347,5178,209525,3293,42820,376020,,,,2.0,,,,2,0.0,0.0,5.32,0,0.0,1.53,,1.0,3.0,1.0,,5,0,3.8,0.0,1.7,8,4.8,2.9,3.9,1349306,5303,39,0,1,1,1,0,0.0
63,California,CA,San Jose,San Jose PD,945942,271382,27508,2255,300022,3492,303514,1820,25827,313636,,,1.0,,,,,1,0.0,3.68,0.0,0,0.0,1.06,,1.0,1.0,,,2,0,2.1,0.0,3.7,3.2,0.0,3.8,3.2,992143,3215,38,0,0,1,0,0,0.0
64,California,CA,Santa Ana,Santa Ana PD,324528,29950,3177,507,33618,826,34444,375,2147,253928,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,3.9,3.4,332848,1121,13,0,0,0,0,0,0.0
65,Colorado,CO,Aurora,Aurora PD,325078,153715,49003,1487,15735,919,16654,677,10279,93263,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,2.0,,,,2,0,6.2,0.0,13.0,0,0.0,6.7,4.2,343484,1436,23,0,2,0,0,0,0.0
66,Colorado,CO,Colorado Springs,Colorado Springs PD,416427,294598,24391,2403,12206,1092,13298,768,14103,66866,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,6.0,4.3,436108,1893,26,0,0,0,0,0,0.0
67,Colorado,CO,Denver,Denver PD,600158,313012,58388,3525,19925,495,20420,1208,12640,190965,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,2.0,3.0,,,5,0,8.3,0.0,6.4,15.7,0.0,6.2,6.3,648981,4087,40,0,2,3,0,0,0.0
68,Florida,FL,St. Petersburg,St. Petersburg PD,244769,157409,57489,567,7672,106,7778,539,4773,16214,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,6.1,9.6,247084,2379,15,0,0,0,0,0,0.0
69,Georgia,GA,Atlanta,Atlanta PD,420003,152377,224316,754,13098,115,13213,739,6789,21815,5.0,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,1.0,,,,1,0,2.4,0.0,6.6,0,0.0,18.6,12.2,451020,5517,84,0,1,0,0,0,0.0
70,Hawaii,HI,Honolulu,Honolulu PD,337256,55762,4642,517,182792,27346,210138,512,47384,18301,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,1.0,1,0,3.0,0.0,0.0,0,0.0,4.7,7.7,337256,2605,16,0,0,0,0,1,0.0
71,Indiana,IN,Fort Wayne,Fort Wayne PD,253691,178436,38514,730,8279,91,8370,542,6899,20200,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,12.2,3.7,254820,949,31,0,0,0,0,0,0.0
72,Kentucky,KY,Lexington,Lexington PD,295803,216072,42336,599,9506,107,9613,546,6163,20474,,,1.0,,,,,1,0.0,4.63,0.0,0,0.0,3.38,,1.0,,,,1,0,3.4,0.0,4.6,0,0.0,5.8,3.1,308712,946,18,0,0,0,0,0,0.0
73,Louisiana,LA,Baton Rouge,Baton Rouge PD,229493,86679,124542,397,7469,39,7508,332,2382,7653,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,21.3,9.2,230212,2127,49,0,0,0,0,0,0.0
74,Minneapolis,MN,Minneapolis,Minneapolis PD,382578,230650,69971,6351,21399,168,21567,962,13004,40073,0.0,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,1.0,,,,1,0,2.6,0.0,4.3,0,0.0,9.1,10.2,396206,4038,36,0,1,0,0,0,0.0
75,Minneapolis,MN,St. Paul,St. Paul PD,285068,159437,43620,2316,42494,120,42614,494,9276,27311,,,,1.0,,,,1,0.0,0.0,36.62,0,0.0,3.51,,,1.0,1.0,,2,0,7.0,0.0,0.0,36.6,23.46646642,4.8,7.5,294690,2200,14,0,0,0,1,0,0.0
76,North Carolina,NC,Durham,Durham PD,228330,86519,92285,611,11478,129,11607,616,4233,32459,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,1.0,,1.0,2,0,8.8,0.0,0.0,36.6,0.0,12.2,4.8,245475,1177,30,0,0,1,0,1,0.0
77,North Carolina,NC,Raleigh,Raleigh PD,403892,215204,115976,1019,17309,139,17448,828,7549,45868,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,2.8,3.9,428993,1683,12,0,0,0,0,0,0.0
78,Nebraska,NE,Lincoln,Lincoln PD,258379,214739,9541,1611,9711,128,9839,353,6114,16182,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,1.0,,,,1,0,3.9,0.0,4.7,0,0.0,1.9,3.7,267565,990,5,0,1,0,0,0,0.0
79,New Jersey,NJ,Newark,Newark PD,277140,32122,138074,713,4318,68,4386,3899,4200,93746,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,40.3,12.6,278246,3516,112,0,0,0,0,0,0.0
80,Nevada,NV,Henderson,Henderson PD,257729,177039,12471,1182,18172,1354,19526,479,8655,38377,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,1.0,1.0,,,2,0,7.8,0.0,5.6,26.1,0.0,3.0,1.4,268237,367,8,0,1,1,0,0,0.0
